stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
835232,,Pike St. & Greenside Ave.,,40.259255,-80.184468,,0,,,
835215,,South Hills Transit Station,,40.3398064220887,-80.0542554024468,,0,,,
1088836,,3rd St. & Duncan Ave.,,40.1774136855633,-80.2548325806856,,0,,,
1530392,,Main @ 4th,,40.203013856859,-79.9259796738625,,0,,,
1709240,,Rte. 88 after Dry Run/Rte. 136,,40.2068128225918,-79.9397099018097,,0,,,
1709241,,Rte. 88 @ Finleyville VFD,,40.2528955709919,-80.002539306879,,0,,,
1709242,,Valley Brook Rd. & E. McMurray Rd. ,,40.2789796676396,-80.0836389646536,,0,,,
1709243,,Rte. 19 & Hidden Valley Rd.,,40.2878556482105,-80.1162498040312,,0,,,
1709244,,McMurray - Rte. 19 @ Lakeside Plaza,,40.2658735789483,-80.129585464779,,0,,,
1709248,,Rte. 19 @ Crosswinds Dr.,,40.265632555886,-80.1293589343801,,0,,,
1709249,,Rte. 19 & Gateshead Dr.,,40.2874566395415,-80.1164598616057,,0,,,
1709250,,Valley Brook Rd. & E. McMurray Rd. ,,40.2790341209643,-80.0841026833185,,0,,,
1709251,,Rte. 88 & Boyer St.,,40.2531401943901,-80.0019988417625,,0,,,
1709252,,Main St. @ Dry Run/Rte. 136,,40.206672503298,-79.9397447705269,,0,,,
1710300,,Main St. @ 4th St.,,40.2029698125999,-79.9260628223419,,0,,,
1709247,,1st St & Giffin Ave.,,40.2668602010194,-80.1794939684753,,0,,,
2490695,,Bellmead Apartments,,40.1600457515017,-80.2365712441779,,0,,,
2490693,,W. Maiden St. @ Washington Senior Center,,40.1676061541043,-80.2463259772988,,0,,,
2490694,,W. Maiden St. @ TRPIL,,40.1676452385353,-80.2454963576167,,0,,,
